,rlbl,nan_count,I
336,Left_IFJp,0,259
337,Left_IFSp,0,260
338,Left_d32,0,241
339,Left_p32pr,0,239
340,Left_24dd,0,219
341,Left_a24pr,0,238
342,Left_24dv,0,220
343,Left_SCEF,0,222
344,Left_6ma,0,223
345,Left_7Am,0,224
346,Left_7PL,0,225
347,Left_7PC,0,226
348,Left_LIPv,0,227
349,Left_VIP,0,228
350,Left_MIP,0,229
351,Left_1,0,230
352,Left_2,0,231
353,Left_3a,0,232
354,Left_6d,0,233
355,Left_6mp,0,234
356,Left_6v,0,235
357,Left_p24pr,0,236
358,Left_33pr,0,237
359,Right_V1,0,0
